unit,incgrp,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC_POP,TOTAL,TOTAL,M,BE	4.4 	3.6 	4.1 	4.2 	3.9 	4.4 	2.5 	1.7 	2.2 	2.3 	1.8 	: 
PC_POP,TOTAL,TOTAL,M,BG	: 	47.7 	50.4 	47.6 	47.2 	47.2 	46.8 	43.9 	43.6 	42.9 	40.9 	: 
PC_POP,TOTAL,TOTAL,M,CH	: 	: 	8.4 	8.5 	7.8 	6.7 	6.2 	6.2 	7.2 	7.3 b	6.7 	: 
PC_POP,TOTAL,TOTAL,M,CY	2.4 	2.0 	1.8 	3.3 b	2.5 	3.5 	3.0 	2.7 	2.5 	2.6 	1.6 	: 
PC_POP,TOTAL,TOTAL,M,CZ	33.0 	33.3 	32.1 	29.3 	26.4 	22.5 	20.9 	21.0 	20.4 	19.2 	17.8 	: 
PC_POP,TOTAL,TOTAL,M,DE	6.5 	7.7 	6.2 	7.1 	7.2 	7.5 	7.0 	6.6 	6.9 	6.9 	7.2 	: 
PC_POP,TOTAL,TOTAL,M,DK	7.8 	7.5 	7.6 	7.5 	8.1 	8.0 	7.9 	7.4 	7.9 	8.0 	8.4 	: 
PC_POP,TOTAL,TOTAL,M,EA18	13.0 	12.9 	12.7 	12.7 	12.2 	12.3 	11.8 	11.8 	12.0 	11.9 	12.2 	: 
PC_POP,TOTAL,TOTAL,M,EA19	13.4 	13.3 	13.1 	13.0 	12.5 	12.6 	11.8 	11.9 	12.2 	12.1 	12.4 	: 
PC_POP,TOTAL,TOTAL,M,EE	45.5 	45.3 	42.9 	41.5 	40.9 	39.0 	14.1 	13.4 	20.7 	14.2 b	13.5 	: 
PC_POP,TOTAL,TOTAL,M,EL	29.0 	29.5 	29.4 	27.0 	25.5 	26.2 	26.3 	26.8 	27.6 	27.8 	28.6 	: 
PC_POP,TOTAL,TOTAL,M,ES	8.3 b	6.8 	5.8 	5.9 	5.6 	5.3 	6.7 b	5.6 	5.3 	5.3 	5.6 	: 
PC_POP,TOTAL,TOTAL,M,EU27	19.6 e	19.2 e	18.8 	18.4 	17.9 	17.7 	16.9 	16.8 	16.9 	16.6 	16.6 	: 
PC_POP,TOTAL,TOTAL,M,EU28	: 	: 	: 	: 	: 	18.0 	17.2 	17.0 	17.2 	16.8 	16.8 	: 
PC_POP,TOTAL,TOTAL,M,FI	7.3 	6.9 	6.4 	6.0 	5.9 	6.2 	6.6 	6.7 	7.3 	7.6 	6.8 	6.9 
PC_POP,TOTAL,TOTAL,M,FR	9.9 	8.6 	10.5 	10.4 	10.1 	9.8 	8.5 	8.4 	7.5 	7.1 	7.6 	: 
PC_POP,TOTAL,TOTAL,M,HR	: 	: 	: 	: 	: 	44.0 	45.1 	44.4 	42.4 	42.1 	41.7 	: 
PC_POP,TOTAL,TOTAL,M,HU	51.2 	52.0 	48.2 	49.1 	47.2 	47.6 	45.9 	45.7 	44.8 	42.8 	41.5 	40.5 
PC_POP,TOTAL,TOTAL,M,IE	5.4 	5.9 	4.8 	4.7 	3.9 	3.2 	2.0 	3.1 	2.8 	3.5 	3.3 	: 
PC_POP,TOTAL,TOTAL,M,IS	7.5 	8.2 	10.3 	6.2 	7.5 	7.1 	7.5 	8.0 	9.1 	8.3 	8.1 	: 
PC_POP,TOTAL,TOTAL,M,IT	24.5 	25.1 	24.9 	24.9 	23.7 	24.7 	25.1 	26.7 	27.8 	27.7 	28.4 	: 
PC_POP,TOTAL,TOTAL,M,LT	53.5 	54.4 	52.7 	47.9 	48.2 	46.1 	19.9 b	19.4 	27.6 b	28.3 	27.1 	: 
PC_POP,TOTAL,TOTAL,M,LU	9.5 	7.6 	7.8 	8.3 	6.7 	8.5 	7.1 	7.3 	6.5 	7.6 	7.2 	: 
PC_POP,TOTAL,TOTAL,M,LV	59.6 	58.8 	59.3 	56.4 	55.6 	55.4 	43.4 	36.9 	38.2 	40.8 	41.4 	42.7 
PC_POP,TOTAL,TOTAL,M,MK	: 	: 	: 	: 	: 	: 	55.3 	52.3 	50.4 	46.1 b	50.7 	: 
PC_POP,TOTAL,TOTAL,M,MT	3.7 	3.3 	4.0 	4.0 	3.7 	3.9 	4.4 	4.1 	3.7 	4.1 	3.7 	: 
PC_POP,TOTAL,TOTAL,M,NL	1.8 	1.9 	1.9 	1.7 	1.6 	2.3 	1.6 	2.5 	2.6 	3.4 	3.1 	: 
PC_POP,TOTAL,TOTAL,M,NO	5.6 	5.0 	5.6 	5.0 	5.0 	5.2 	5.1 	5.8 	6.2 	5.0 	5.2 	: 
PC_POP,TOTAL,TOTAL,M,PL	55.1 	54.9 	53.1 	51.5 	49.8 	48.2 	47.8 	46.6 	45.2 	44.6 	43.9 	: 
PC_POP,TOTAL,TOTAL,M,PT	17.1 	16.3 	16.8 	16.1 	14.1 	14.7 	11.5 	10.2 	11.7 	10.5 	10.4 	: 
PC_POP,TOTAL,TOTAL,M,RO	: 	: 	56.3 	55.8 	54.1 	52.7 	52.2 	52.6 	51.7 	50.4 	50.2 	: 
PC_POP,TOTAL,TOTAL,M,RS	: 	: 	: 	: 	: 	: 	: 	: 	53.9 	50.2 	52.9 	: 
PC_POP,TOTAL,TOTAL,M,SE	10.5 	11.0 	10.7 	10.4 	11.0 	11.6 	11.7 	10.9 	11.6 	11.1 	11.8 	: 
PC_POP,TOTAL,TOTAL,M,SI	41.4 	40.0 	39.3 	39.2 	37.9 	35.2 	17.3 b	16.7 	15.8 	15.2 	13.8 	: 
PC_POP,TOTAL,TOTAL,M,SK	46.4 	46.4 	44.1 	43.8 	40.3 	40.3 	40.1 	38.5 	40.3 	38.5 	38.3 	: 
PC_POP,TOTAL,TOTAL,M,TR	: 	51.7 	51.8 	50.8 	49.0 	47.3 	46.7 	45.9 	45.6 	: 	: 	: 
PC_POP,TOTAL,TOTAL,M,UK	5.5 	6.2 	6.1 	6.4 	7.6 	7.7 	7.3 	7.1 b	8.2 	7.5 	7.3 	: 
PC_POP,TOTAL,TOTAL,T,AT	15.0 	15.6 	15.2 	14.8 b	13.3 	12.0 	12.3 	13.9 	14.7 	15.3 	15.0 	: 
PC_POP,TOTAL,TOTAL,T,BE	4.0 	3.6 	3.8 	4.1 	3.9 	4.2 	2.2 	1.6 	2.0 	2.0 	1.6 	: 
PC_POP,TOTAL,TOTAL,T,BG	: 	48.2 	51.1 	48.1 	47.0 	47.4 	47.4 	44.5 	44.2 	43.3 	41.4 	: 
PC_POP,TOTAL,TOTAL,T,CH	: 	: 	7.7 	8.1 	7.6 	6.1 	6.1 	5.9 	6.7 	6.8 b	6.4 	: 
PC_POP,TOTAL,TOTAL,T,CY	2.2 	1.9 	1.6 	3.3 b	2.6 	3.5 	2.9 	2.8 	2.4 	2.2 	1.4 	: 
PC_POP,TOTAL,TOTAL,T,CZ	33.6 	33.8 	32.7 	29.8 	26.6 	22.5 	21.1 	21.1 	21.0 	19.9 	18.7 	: 
PC_POP,TOTAL,TOTAL,T,DE	6.3 	7.6 	6.5 	7.0 	7.0 	7.1 	6.7 	6.6 	6.7 	6.6 	7.0 	: 
